
#DIFFERENT FOR ALL LISTING TYPES
"SEPARATE_PRODUCT_TAGS_WITH_COMMAS";"Separate tags with commas."
"Your product has been successfully created. You can enhance your product from this Dashboard by creating other components.";"Your listing has been successfully created. You can enhance your listing from this Dashboard by creating other components."
"View Product";"View Listing"
"View Product &raquo;";"View Listing &raquo;"
"End product on a specific date. (Please select date by clicking on the calendar icon below.)";"End listing on a specific date. (Please select date by clicking on the calendar icon below.)"
"When should this product end?";"When should this listing end?"
"Note: your product will be expired in %1$s %2$s after an approval or it may be changed by admin.";"Note: your listing will be expired in %1$s %2$s after an approval or it may be changed by admin."

#LISTING TYPE DEPENDENT
"All Products";"All Listings"
"Only Open Products";"Only Open Listings"
"Only Closed Products";"Only Closed Listings"
"Everyone's Products";"Everyone's Listings"
"Only My Friends' Products";"Only My Friends' Listings"
"Products I Like";"Listings I Like"
"Only Expired Products";"Only Expired Listings"
"Products Having";"Listings Having"
"Only Products With Photos";"Only Listings With Photos"
"Only Product With Photos";"Only Listing With Photos"

#Sitereview/Form/Overview
#LISTING TYPE DEPENDENT 
"Edit the overview for your product using the editor below, and then click 'Save Overview' to save changes.";"Edit the overview for your listing using the editor below, and then click 'Save Overview' to save changes."
"DASHBOARD_PRODUCT_SAVE_OVERVIEW";"Save Overview"
"DASHBOARD_PRODUCT_EDIT_OVERVIEW";"Edit Overview"
"Edit Product Overview";"Edit Product Overview"

#Sitereview/Form/Contact
"Contact information will be displayed on your product profile.";"Contact information will be displayed on your product profile."

#Sitereview/Form/Priceinfo/Add
#LISTING TYPE DEPENDENT
"ADD_DASHBOARD_PRODUCT_WHERE_TO_BUY_OPTION";"Add Where to Buy Option"
"EDIT_DASHBOARD_PRODUCT_WHERE_TO_BUY_OPTION";"Edit Where to Buy"
"Add DASHBOARD_PRODUCT_WHERE_TO_BUY option for this product using the form below. Enter the name of the Store and other details where this product is available.";"Add Where to Buy option for this listing using the form below. Enter the name of the Store and other details where this listing is available."
"Select the online store for your product from available stores drop-down below.";"Select the online store for your listing from available stores drop-down below."
"Enter the URL of the Store's webpage where this product is available. (We recommend you to enter complete URL.)";"Enter the URL of the Store's webpage where this listing is available. (We recommend you to enter complete URL.)"

#Sitereview/Form/Style
#LISTING TYPE DEPENDENT
"Edit Product Style";"Edit Product Style"
"Edit the CSS style of your product using the text area below, and then click 'Save Style' to save changes.";"Edit the CSS style of your listing using the text area below, and then click 'Save Style' to save changes."
"Add your own CSS code above to give your product a more personalized look.";"Add your own CSS code above to give your listing a more personalized look."
"Custom Advanced product Style";"Custom Advanced listing Style"
"Meta keywords are a great way to provide search engines with information about your product so that search engines populate your product in search results. Below, you can add meta keywords for this product. (The tags entered by you for this product will also be added to the meta keywords.)";"Meta keywords are a great way to provide search engines with information about your product so that search engines populate your product in search results. Below, you can add meta keywords for this listing. (The tags entered by you for this listing will also be added to the meta keywords.)"


#Sitereview/Form/Edit
#LISTING TYPE DEPENDENT
"Edit Product Info";"Edit Product Info"
"Edit the information of your product using the form below.";"Edit the information of your listing using the form below."

#Sitereview/index/delete.tpl
#LISTING TYPE DEPENDENT
"Delete Product?";"Delete Product?"
"Are you sure that you want to delete the Product with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted.";"Are you sure that you want to delete the Listing with the title ""%1$s"" last modified %2$s? It will not be recoverable after being deleted."

#LISTING TYPE DEPENDENT
"You have not added a location for your product. %s to add a location for your product.";"You have not added a location for your listing. %s to add a location for your listing."

#LISTING TYPE DEPENDENT
"(You can edit the end date to make the product live again.)";"(You can edit the end date to make the listing live again.)"
"You do not have any product that match your search criteria.";"You do not have any listing that match your search criteria."
"You do not have any products.";"You do not have any listings."
"Get started by %1$sposting%2$s a new product.";"Get started by %1$sposting%2$s a new listing."

#LISTING TYPE DEPENDENT
"You have already created the maximum number of products allowed. If you would like to create a new product, please delete an old one first.";"You have already created the maximum number of listings allowed. If you would like to create a new listing, please delete an old one first."
